1,Naruto Uzumaki,"Não é o rosto que faz de alguém um monstro, são as escolhas que elas fazem para as suas vidas." "
2,Naruto Uzumaki,"Trabalho duro é inútil para aqueles que não acreditam em si mesmos. "
3,Naruto Uzumaki,"Lar é onde tem alguém sempre pensando em você. "
4,Naruto Uzumaki,"Desista de me fazer desistir! "
5,Naruto Uzumaki," O que dói não é crescer. O que dói é ver uma pessoa que tanto amou mudar."
6,Naruto Uzumaki,"Se você não gosta do seu destino, não aceite. Em vez disso, tenha a coragem de mudá-lo do jeito que você quer que seja "
7,Naruto Uzumaki,"O fracasso não é razão para você desistir, desde que continue acreditando. "
8,Naruto Uzumaki,"Todos aqueles que não conhecem a si mesmo, estão fadados a falhar."
8, Sasuke Uchina,"Lágrimas e chuva, caem no meu rosto, meu corpo é incapaz de ficar, mas meu coração ainda não está disposto a sair."
9,Sasuke Uchina,"Desde que você não desista, vai sempre existir salvação."
10,Sasuke Uchina,"Quando alguém entende o que é o amor também entende o que é o ódio."
11,Sakura Haruno,"Você não sabia? Mulher tem que ser forte para sobreviver!"
12,Sakura Haruno,"Um sorriso é a maneira mais fácil de sair de uma situação difícil"
13,Sakura Haruno,"É algo difícil fazer seus pensamentos chegarem a alguém."
14,Sakura Haruno,"As coisas mais importantes não estão escritas num livro, é preciso aprendê-las vivenciando-as sozinho."
15,Sakura Haruno,"Mas não importa o quanto nós pensamos em alguém, há alguns que não vão retornar."
16, Sakura Haruno,"Cada um de nós deve fazer o que está ao seu alcance! Se vamos morrer de qualquer maneira, então é melhor morrer lutando do que não fazer nada!"
17,Hinata Hyuuga,"Você não é perfeito, você comete erros e fica mais forte por causa deles... Eu acredito que essa é a verdadeira força."
18,Hinata Hyuuga,"Quando eu vejo você, sinto-me forte, como se pudesse fazer qualquer coisa - mesmo que eu falhe em alguma coisa."
19,Hinata Hyuuga,"Eu quero me tornar uma... pessoa melhor."
20,Hinata Hyuuga,"Eu nunca vou voltar atrás na minha palavra, porque esse também é meu jeito ninja."
21,Hinata Hyuuga,"Eu estava chorando e desistindo antes mesmo de tentar.Fiz escolhas ruins várias vezes..Mas você me ajudou a encontrar meu caminho e a segui-lo."
22,Itachi Uchiha,"Não precisa me perdoar...E não importa o que faça daqui pra frente, saiba que.. sempre vou te amar."
23,Madara Uchiha,"O poder nos leva a guerra a falta de poder nos leva a perde tudo."
24,Madara Uchiha,"Não há luz, nem esperança, há apenas desespero."
25,Madara Uchiha,"Mas o único que ele não conseguiu matar... foi o irmão. Um homem que chorou lágrimas de sangue, que teve que jogar fora as emoções para matar todos os seus parentes e amigos... Não teve coragem de te matar. Você entende o que isso significa?"
26,Uchiha Itachi,"A vida das pessoas não acaba quando elas morrem, mas sim quando perdem a fé."
27,Sasuke (Naruto),"Quando resolve seguir o amor, deve também assumir o risco de conhecer o ódio."
28,Sasuke Uchiha,"Quando alguém entende o que é o amor também entende o que é o ódio."
29,Sasuke Uchiha,"É por termos laços, que sofremoss..."
30,Sasuke Uchiha,"Eu fechei meus olhos há muito tempo, meus objetivos estão na escuridão."
31,Madara Uchiha,"Escute... Neste mundo, sempre que houver uma luz, haverá também sombras. Enquanto o conceito de vencedores existir também deve haver perdedores. O desejo egoista de querer manter a paz provoca guerras e o ódio nasce para proteger o amor."